geneid	pval	up_down 	pathway_ids
HCON_00019970	0.007242246	none	ko04141,map04141
HCON_00019980	0.002907481	UP	-
HCON_00020000	0.488384757	none	ko04080,map04080
HCON_00020020	0.124915658	none	ko00970,map00970
HCON_00020040	0.006415804	UP	ko03060,map03060
HCON_00020050	0.054683465	none	-
HCON_00020060	0.210074207	none	-
HCON_00020070	0.004276267	UP	ko00190,ko01100,ko04714,ko04723,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map04714,map04723,map04932,map05010,map05012,map05016
HCON_00020090	0.035706601	UP	-
HCON_00020107	0.057454759	none	-
HCON_00020110	0.112094078	none	ko04022,ko04024,ko04740,ko04744,map04022,map04024,map04740,map04744
HCON_00020120	0.123612842	none	-
HCON_00020160	0.010384081	down	-
HCON_00020190	0.181744095	none	ko02010,map02010
HCON_00020240	0.154858362	none	ko04141,map04141
HCON_00020260	0.01097303	UP	ko04141,ko05014,map04141,map05014
HCON_00020280	0.097568999	none	ko03010,map03010
HCON_00020300	0.119629216	none	-
HCON_00020310	0.153881051	none	-
HCON_00020320	0.001010853	UP	ko03008,map03008
HCON_00020325	0.170600578	none	ko03010,map03010
HCON_00020330	0.0000119	down	ko04015,ko04020,ko04022,ko04071,ko04261,ko04270,ko04371,ko04540,ko04611,ko04713,ko04720,ko04723,ko04724,ko04725,ko04726,ko04728,ko04730,ko04745,ko04750,ko04911,ko04912,ko04915,ko04916,ko04918,ko04921,ko04922,ko04924,ko04925,ko04927,ko04934,ko04961,ko04970,ko04971,ko04972,ko05010,ko05016,ko05142,ko05143,ko05146,ko05200,map04015,map04020,map04022,map04071,map04261,map04270,map04371,map04540,map04611,map04713,map04720,map04723,map04724,map04725,map04726,map04728,map04730,map04745,map04750,map04911,map04912,map04915,map04916,map04918,map04921,map04922,map04924,map04925,map04927,map04934,map04961,map04970,map04971,map04972,map05010,map05016,map05142,map05143,map05146,map05200
HCON_00020360	0.00201461	UP	-
HCON_00020370	0.002335841	down	-
HCON_00020440	0.100257285	none	-
HCON_00020460	0.386987712	none	ko04145,ko05152,map04145,map05152
HCON_00020490	0.312831625	none	ko03015,map03015
HCON_00020530	0.000941757	none	-
HCON_00020535	0.302546007	none	ko03008,map03008
HCON_00020610	0.003076961	UP	-
HCON_00020620	0.061699973	none	ko04013,ko04068,ko04146,ko04211,ko04212,ko04213,ko05016,map04013,map04068,map04146,map04211,map04212,map04213,map05016
HCON_00020640	0.173818385	none	-
HCON_00020680	0.176288072	none	-
HCON_00020700	0.027382537	UP	ko04659,ko04934,map04659,map04934
HCON_00020730	0.006998317	UP	ko03013,map03013
HCON_00020740	0.001584075	down	ko04080,ko04214,ko04979,ko05166,map04080,map04214,map04979,map05166
HCON_00020750	0.230407639	none	-
HCON_00020760	0.368479493	none	-
HCON_00020770	0.331430035	none	-
HCON_00020860	0.056246518	none	ko03040,map03040
HCON_00020880	0.047541337	UP	ko03050,ko05169,map03050,map05169
HCON_00020890	0.025148987	UP	ko03010,map03010
HCON_00020900	0.000154851	none	ko03008,ko04064,ko04137,ko04139,ko04310,ko04520,ko04712,ko05162,ko05168,ko05169,map03008,map04064,map04137,map04139,map04310,map04520,map04712,map05162,map05168,map05169
HCON_00020910	0.004499269	down	ko00730,ko01100,ko04122,map00730,map01100,map04122
HCON_00020920	0.000162303	UP	-
HCON_00020940	0.278602254	none	-
HCON_00021010	0.0041118	none	ko00220,ko00250,ko00270,ko00330,ko00350,ko00360,ko00400,ko00710,ko00950,ko00960,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,ko04975,map00220,map00250,map00270,map00330,map00350,map00360,map00400,map00710,map00950,map00960,map01100,map01110,map01120,map01130,map01200,map01210,map01230,map04975
HCON_00021020	0.121714136	none	ko04744,map04744
HCON_00021030	0.223229927	none	-
HCON_00021040	0.025766585	UP	-
HCON_00021060	0.178361524	none	-
HCON_00021065	0.214506232	none	-
HCON_00021070	0.063486603	none	ko00240,ko01100,map00240,map01100
HCON_00021080	0.098032464	none	ko04136,ko04137,ko04138,ko04140,ko04211,ko04213,ko04216,ko04621,ko04622,ko05131,map04136,map04137,map04138,map04140,map04211,map04213,map04216,map04621,map04622,map05131
HCON_00021100	0.005321376	UP	ko03018,ko03040,map03018,map03040
HCON_00021110	0.009304322	down	ko04120,ko05168,map04120,map05168
HCON_00021130	0.137611987	none	-
HCON_00021140	0.000274683	down	-
HCON_00021150	0.002171129	UP	-
HCON_00021160	0.009148994	UP	-
HCON_00021200	0.015247655	UP	ko04310,ko04390,ko04550,ko04934,ko05165,ko05200,ko05210,ko05213,ko05217,ko05224,ko05225,ko05226,map04310,map04390,map04550,map04934,map05165,map05200,map05210,map05213,map05217,map05224,map05225,map05226
HCON_00021230	0.074105992	none	ko04080,map04080
HCON_00021240	0.064976656	none	-
HCON_00021250	0.025160432	UP	-
HCON_00021260	0.161324246	none	-
HCON_00021300	0.410888145	none	ko04130,ko04145,ko05134,map04130,map04145,map05134
HCON_00021310	0.434377932	none	ko00480,ko04918,map00480,map04918
HCON_00021320	0.039120534	UP	-
HCON_00021380	0.136760243	none	ko04310,ko04390,ko04550,ko04810,ko04934,ko05165,ko05166,ko05200,ko05206,ko05210,ko05213,ko05217,ko05224,ko05225,ko05226,map04310,map04390,map04550,map04810,map04934,map05165,map05166,map05200,map05206,map05210,map05213,map05217,map05224,map05225,map05226
HCON_00021390	0.314325519	none	-
HCON_00021400	0.000268385	down	ko04130,map04130
HCON_00021410	0.003568185	UP	ko03050,map03050
HCON_00021430	0.184749706	none	-
HCON_00021440	0.094870334	none	ko03018,map03018
HCON_00021460	0.006091221	UP	-
HCON_00021470	0.160974469	none	ko03040,map03040
HCON_00021480	0.00578917	UP	-
HCON_00021510	0.453123412	none	-
HCON_00021530	0.167627634	none	-
HCON_00021540	0.331392498	none	ko04141,ko04612,map04141,map04612
HCON_00021550	0.016682216	down	ko04141,map04141
HCON_00021560	0.093234358	none	-
HCON_00021580	0.063456621	none	-
HCON_00021590	0.013045649	UP	ko00330,ko01100,map00330,map01100
HCON_00021600	0.00717064	down	-
HCON_00021620	0.125475104	none	ko00020,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,map00020,map01100,map01110,map01120,map01130,map01200,map01210,map01230
HCON_00021630	0.191823072	none	-
HCON_00021660	0.000435736	none	ko00270,ko00330,ko01100,map00270,map00330,map01100
HCON_00021680	0.138303891	none	ko00240,ko00410,ko00770,ko00983,ko01100,map00240,map00410,map00770,map00983,map01100
HCON_00021700	0.160491643	none	-
HCON_00021720	0.052246846	none	-
HCON_00021730	0.276817654	none	-
HCON_00021790	0.009290506	UP	ko00190,ko01100,ko04260,ko04714,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map04260,map04714,map04932,map05010,map05012,map05016
HCON_00021800	0.035046464	UP	ko00562,ko01100,ko04070,map00562,map01100,map04070
HCON_00021810	0.081282281	none	ko03010,map03010
HCON_00021830	0.023293721	none	ko04120,ko04141,ko05012,map04120,map04141,map05012
HCON_00021850	0.000430886	down	ko00010,ko00030,ko00500,ko00520,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00030,map00500,map00520,map01100,map01110,map01120,map01130,map01200
HCON_00021880	0.186549615	none	-
HCON_00021890	0.015952786	UP	-
HCON_00021900	0.121034418	none	-
HCON_00021950	0.133061921	none	-
HCON_00022000	0.21265552	none	-
HCON_00022050	0.038002598	UP	-
HCON_00022090	0.347350716	none	ko03060,ko04141,map03060,map04141
HCON_00022100	0.002272072	UP	ko03060,ko04141,map03060,map04141
HCON_00022170	0.482160798	none	ko00310,ko05202,map00310,map05202
HCON_00022200	0.128855223	none	-
HCON_00022260	0.329860499	none	-
HCON_00022270	0.044082662	down	ko00190,ko01100,ko04142,ko04145,ko04721,ko04966,ko05110,ko05120,ko05152,ko05203,ko05323,map00190,map01100,map04142,map04145,map04721,map04966,map05110,map05120,map05152,map05203,map05323
HCON_00022280	0.469747455	none	ko01522,ko04012,ko04020,ko04062,ko04072,ko04151,ko04360,ko04370,ko04510,ko04650,ko04670,ko04810,ko04912,ko05100,ko05146,ko05161,ko05165,ko05200,ko05202,ko05205,ko05222,ko05418,map01522,map04012,map04020,map04062,map04072,map04151,map04360,map04370,map04510,map04650,map04670,map04810,map04912,map05100,map05146,map05161,map05165,map05200,map05202,map05205,map05222,map05418
HCON_00022310	0.042520087	down	-
HCON_00022340	0.229713213	none	ko04144,map04144
HCON_00022370	0.20297424	none	-
HCON_00022437	0.425145877	none	-
HCON_00022450	0.0000238	UP	-
HCON_00022460	0.000231626	UP	ko00770,ko01100,map00770,map01100
HCON_00022470	0.389202292	none	-
HCON_00022480	0.420867042	none	ko04146,map04146
HCON_00022500	0.0000262	UP	-
HCON_00022510	0.00267183	down	-
HCON_00022520	0.0111433	UP	ko03008,ko03013,ko03015,ko03040,map03008,map03013,map03015,map03040
HCON_00022530	0.013774735	UP	ko00860,ko00970,ko01100,ko01110,ko01120,map00860,map00970,map01100,map01110,map01120
HCON_00022540	0.093410864	none	ko04330,ko05010,map04330,map05010
HCON_00022570	0.000733759	down	ko04012,ko04020,ko04024,ko04066,ko04114,ko04217,ko04261,ko04310,ko04360,ko04610,ko04614,ko04713,ko04720,ko04722,ko04725,ko04728,ko04740,ko04745,ko04750,ko04911,ko04912,ko04916,ko04921,ko04922,ko04925,ko04934,ko04971,ko04972,ko04974,ko05031,ko05152,ko05200,ko05205,ko05214,map04012,map04020,map04024,map04066,map04114,map04217,map04261,map04310,map04360,map04610,map04614,map04713,map04720,map04722,map04725,map04728,map04740,map04745,map04750,map04911,map04912,map04916,map04921,map04922,map04925,map04934,map04971,map04972,map04974,map05031,map05152,map05200,map05205,map05214
HCON_00022600	0.028065582	UP	-
HCON_00022640	0.071128848	none	ko00100,ko00140,ko00590,ko00591,ko01100,ko04212,ko04726,ko04750,ko04913,map00100,map00140,map00590,map00591,map01100,map04212,map04726,map04750,map04913
HCON_00022670	0.227844978	none	ko00100,ko00140,ko00590,ko00591,ko01100,ko04212,ko04726,ko04750,ko04913,map00100,map00140,map00590,map00591,map01100,map04212,map04726,map04750,map04913
HCON_00022690	0.004723806	down	-
HCON_00022720	0.00000125	UP	-
HCON_00022730	0.073212271	none	-
HCON_00022740	0.01892281	UP	-
HCON_00022750	0.30471547	none	-
HCON_00022780	0.029329325	none	ko00061,ko00071,ko01100,ko01212,ko02024,ko03320,ko04146,ko04216,ko04714,ko04920,map00061,map00071,map01100,map01212,map02024,map03320,map04146,map04216,map04714,map04920
HCON_00022810	0.000110946	UP	-
HCON_00022820	0.000990448	UP	ko03060,map03060
HCON_00022830	0.258944189	none	ko01524,ko04978,map01524,map04978
HCON_00022860	0.057438482	none	ko04310,map04310
HCON_00022870	0.013823786	down	ko03320,map03320
HCON_00022880	0.000195871	down	-
HCON_00022890	0.136770671	none	ko03040,map03040
HCON_00022915	0.001974062	UP	ko04014,map04014
HCON_00022920	0.006436718	down	-
HCON_00022930	0.274204935	none	-
HCON_00022940	0.06282815	none	-
HCON_00023010	0.146851621	none	-
HCON_00023020	0.000224221	UP	-
HCON_00023070	0.083350482	none	-
HCON_00023095	0.090838196	none	-
HCON_00023097	0.005406208	down	-
HCON_00023120	0.380797661	none	ko00970,map00970
HCON_00023160	0.443095902	none	-
HCON_00023170	0.011954508	down	-
HCON_00023180	0.016247171	UP	-
HCON_00023190	0.201891999	none	ko00562,ko01100,ko04011,ko04070,ko04072,ko04139,ko04144,ko04145,ko04666,ko04810,ko05231,map00562,map01100,map04011,map04070,map04072,map04139,map04144,map04145,map04666,map04810,map05231
HCON_00023200	0.464509221	none	-
HCON_00023220	0.061019409	none	-
HCON_00023230	0.373135585	none	ko00230,ko00240,ko01100,ko03020,ko04623,ko05169,map00230,map00240,map01100,map03020,map04623,map05169
HCON_00023240	0.190973486	none	ko03030,ko03410,ko03450,map03030,map03410,map03450
HCON_00023290	0.015882275	UP	-
HCON_00023310	0.023790826	none	ko05225,map05225
HCON_00023330	0.262355299	none	ko04070,ko04138,map04070,map04138
HCON_00023340	0.075113276	none	-
HCON_00023360	0.0000321	UP	-
HCON_00023370	0.355372566	none	ko04110,ko04111,ko04120,ko04914,map04110,map04111,map04120,map04914
HCON_00023380	0.348204567	none	-
HCON_00023390	0.165382011	none	-
HCON_00023400	0.157809875	none	-
HCON_00023410	0.440954821	none	-
HCON_00023420	0.011920948	UP	-
HCON_00023430	0.001290976	down	-
HCON_00023440	0.30924112	none	ko05206,map05206
HCON_00023450	0.447579817	none	-
HCON_00023500	0.045132644	UP	ko04217,ko04218,ko04621,ko04978,map04217,map04218,map04621,map04978
HCON_00023510	0.23118024	none	-
HCON_00023530	0.004475428	UP	-
HCON_00023550	0.039077035	UP	-
HCON_00023560	0.020358759	UP	-
HCON_00023640	0.40358471	none	-
HCON_00023650	0.037600013	none	-
HCON_00023667	0.185773337	none	-
HCON_00023670	0.170571233	none	ko03013,map03013
HCON_00023690	0.221641105	none	ko00350,ko00643,ko01100,ko01120,map00350,map00643,map01100,map01120
HCON_00023720	0.199519647	none	-
HCON_00023730	0.027372877	none	ko00190,ko01100,ko04714,ko04723,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map04714,map04723,map04932,map05010,map05012,map05016
HCON_00023740	0.000582136	UP	ko03018,map03018
HCON_00023750	0.232070172	none	ko04976,map04976
HCON_00023790	0.005228935	down	ko00900,ko01110,map00900,map01110
HCON_00023800	0.115373693	none	-
HCON_00023810	0.015575253	down	-
HCON_00023830	0.144847335	none	-
HCON_00023840	0.001048949	UP	-
HCON_00023860	0.001273809	down	ko04011,ko04120,ko04144,ko04530,ko04960,ko05169,map04011,map04120,map04144,map04530,map04960,map05169
HCON_00023910	0.467755077	none	ko00830,ko01100,map00830,map01100
HCON_00023930	0.016898939	down	ko03460,ko04212,map03460,map04212
HCON_00023935	0.061890411	none	ko00230,ko00240,ko01100,ko03020,ko04623,ko05016,ko05169,ko05202,map00230,map00240,map01100,map03020,map04623,map05016,map05169,map05202
HCON_00023940	0.070246741	none	-
HCON_00023950	0.1589777	none	-
HCON_00023960	0.005804525	UP	-
HCON_00023990	0.429374337	none	ko00140,ko00590,ko00591,ko00830,ko00980,ko00982,ko01100,ko04726,ko04750,ko05204,map00140,map00590,map00591,map00830,map00980,map00982,map01100,map04726,map04750,map05204
HCON_00024000	0.033482525	UP	ko00140,ko00590,ko00591,ko01100,ko04212,ko04726,ko04750,ko04913,ko04917,ko04927,ko04934,map00140,map00590,map00591,map01100,map04212,map04726,map04750,map04913,map04917,map04927,map04934
HCON_00024005	0.011615011	UP	ko00140,ko00590,ko00591,ko01100,ko04212,ko04726,ko04750,ko04913,ko04917,ko04927,ko04934,map00140,map00590,map00591,map01100,map04212,map04726,map04750,map04913,map04917,map04927,map04934
HCON_00024020	0.089905031	none	ko00140,ko00590,ko00591,ko01100,ko04212,ko04726,ko04750,ko04913,ko04917,ko04927,ko04934,map00140,map00590,map00591,map01100,map04212,map04726,map04750,map04913,map04917,map04927,map04934
HCON_00024030	0.247222992	none	ko01524,ko03420,ko03460,map01524,map03420,map03460
HCON_00024040	0.050951092	none	-
HCON_00024050	0.003121709	UP	ko03013,ko05164,map03013,map05164
HCON_00024060	0.199632896	none	ko04520,ko04630,ko04910,ko04931,map04520,map04630,map04910,map04931
HCON_00024070	0.029919657	UP	ko03008,map03008
HCON_00024080	0.293072046	none	-
HCON_00024090	0.005938631	down	ko00061,ko00780,ko01100,ko01212,map00061,map00780,map01100,map01212
HCON_00024160	0.337634366	none	ko05202,map05202
HCON_00024170	0.053017586	none	-
HCON_00024180	0.468735469	none	ko01522,ko04137,ko04350,ko04915,ko04927,ko04934,ko05016,ko05200,ko05202,ko05224,ko05231,map01522,map04137,map04350,map04915,map04927,map04934,map05016,map05200,map05202,map05224,map05231
HCON_00024200	0.009223363	UP	-
HCON_00024210	0.048470091	UP	-
HCON_00024220	0.332968517	none	ko00562,ko01100,ko03050,ko04011,ko04070,ko04072,ko04139,ko04144,ko04666,ko04810,ko05169,ko05231,map00562,map01100,map03050,map04011,map04070,map04072,map04139,map04144,map04666,map04810,map05169,map05231
HCON_00024250	0.019562879	down	-
HCON_00024260	0.184940664	none	ko00561,ko04975,map00561,map04975
HCON_00024270	0.031194847	UP	-
HCON_00024290	0.052342153	none	ko00561,ko04975,map00561,map04975
HCON_00024300	0.000517377	UP	ko00561,ko04975,map00561,map04975
HCON_00024310	0.045276409	UP	ko00561,ko04975,map00561,map04975
HCON_00024320	0.017608788	down	-
HCON_00024330	0.013930184	UP	ko04015,ko04144,ko04360,ko04390,ko04391,ko04530,ko05165,map04015,map04144,map04360,map04390,map04391,map04530,map05165
HCON_00024490	0.19758952	none	ko00230,ko04020,ko04024,ko04740,ko04742,ko04924,ko04927,ko04934,ko05032,map00230,map04020,map04024,map04740,map04742,map04924,map04927,map04934,map05032
HCON_00024520	0.002501915	UP	-
HCON_00024530	0.00552613	down	-
HCON_00024540	0.002449214	UP	-
HCON_00024560	0.003590605	UP	-
HCON_00024570	0.075904161	none	ko03010,map03010
HCON_00024580	0.303382949	none	ko03040,map03040
HCON_00024590	0.026698651	UP	-
HCON_00024620	0.24247584	none	-
HCON_00024630	0.159830328	none	-
HCON_00024640	0.011706195	UP	ko00052,ko00520,ko01100,map00052,map00520,map01100
HCON_00024645	0.016553599	down	ko04146,map04146
HCON_00024650	0.02431893	UP	ko03008,map03008
HCON_00024660	0.244779129	none	-
HCON_00024665	0.015491232	UP	-
HCON_00024670	0.000782729	UP	-
HCON_00024697	0.142085301	none	-
HCON_00024710	0.495938059	none	ko04141,map04141
HCON_00024720	0.045949264	UP	-
HCON_00024730	0.014192495	down	ko04068,map04068
HCON_00024740	0.275527454	none	-
HCON_00024790	0.340199192	none	-
HCON_00024800	0.021070448	UP	-
HCON_00024810	0.001475142	UP	ko00062,ko00071,ko00280,ko00310,ko00380,ko00410,ko00627,ko00640,ko00650,ko00930,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,map00062,map00071,map00280,map00310,map00380,map00410,map00627,map00640,map00650,map00930,map01100,map01110,map01120,map01130,map01200,map01212
HCON_00024860	0.008763638	UP	ko03013,ko05160,map03013,map05160
HCON_00024930	0.003985821	UP	-
HCON_00024960	0.001951677	down	-
HCON_00024980	0.218806564	none	ko04340,ko04918,ko04979,map04340,map04918,map04979
HCON_00025010	0.000743626	UP	-
HCON_00025020	0.021897424	down	ko04390,ko04391,ko04392,map04390,map04391,map04392
HCON_00025040	0.315721018	none	-
HCON_00025100	0.002242934	UP	-
HCON_00025120	0.194030136	none	-
HCON_00025140	0.425504856	none	ko04550,map04550
HCON_00025160	0.001355663	UP	-
HCON_00025170	0.007561545	down	-
HCON_00025180	0.008947773	UP	ko03010,map03010
HCON_00025190	0.387821644	none	-
HCON_00025210	0.143253448	none	ko04022,ko04024,ko04151,ko04152,ko04211,ko04261,ko04668,ko04714,ko04725,ko04728,ko04911,ko04915,ko04916,ko04918,ko04922,ko04925,ko04926,ko04927,ko04931,ko04934,ko04962,ko05016,ko05030,ko05031,ko05034,ko05161,ko05165,ko05203,ko05215,map04022,map04024,map04151,map04152,map04211,map04261,map04668,map04714,map04725,map04728,map04911,map04915,map04916,map04918,map04922,map04925,map04926,map04927,map04931,map04934,map04962,map05016,map05030,map05031,map05034,map05161,map05165,map05203,map05215
HCON_00025230	0.003306512	down	ko00010,ko00260,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00260,map00680,map01100,map01110,map01120,map01130,map01200,map01230
HCON_00025240	0.00484132	down	-
HCON_00025250	0.362043296	none	-
HCON_00025280	0.158750292	none	-
HCON_00025290	0.008909955	UP	ko00970,ko01100,map00970,map01100
HCON_00025310	0.005697258	down	-
HCON_00025330	0.04360503	UP	-
HCON_00025360	0.00037126	UP	-
HCON_00025370	0.099502137	none	ko04624,map04624
HCON_00025380	0.008073574	down	-
HCON_00025390	0.089030098	none	-
HCON_00025400	0.173379953	none	-
HCON_00025410	0.103451812	none	-
HCON_00025420	0.000799214	UP	ko04310,map04310
HCON_00025515	0.014868075	down	ko05164,map05164
HCON_00025560	0.111527305	none	-
HCON_00025570	0.333506366	none	ko00440,ko00564,ko00565,ko01100,ko01110,map00440,map00564,map00565,map01100,map01110
HCON_00025575	0.033711161	UP	ko04080,ko04912,map04080,map04912
HCON_00025590	0.161431795	none	-
HCON_00025595	0.000344505	UP	-
HCON_00025610	0.04647688	none	-
HCON_00025620	0.156271248	none	-
HCON_00025640	0.156216494	none	ko00480,ko00980,ko00981,ko04216,ko04976,ko05204,map00480,map00980,map00981,map04216,map04976,map05204
HCON_00025670	0.099382796	none	ko01521,ko01522,ko04012,ko04066,ko04072,ko04136,ko04138,ko04139,ko04140,ko04150,ko04151,ko04152,ko04211,ko04212,ko04213,ko04218,ko04371,ko04630,ko04659,ko04714,ko04910,ko04919,ko04920,ko04930,ko04931,ko05165,ko05167,ko05200,ko05205,ko05206,ko05210,ko05212,ko05214,ko05215,ko05221,ko05224,ko05225,ko05226,ko05230,ko05231,map01521,map01522,map04012,map04066,map04072,map04136,map04138,map04139,map04140,map04150,map04151,map04152,map04211,map04212,map04213,map04218,map04371,map04630,map04659,map04714,map04910,map04919,map04920,map04930,map04931,map05165,map05167,map05200,map05205,map05206,map05210,map05212,map05214,map05215,map05221,map05224,map05225,map05226,map05230,map05231
HCON_00025800	0.224730051	none	-
HCON_00025830	0.027087558	down	ko03015,ko05164,map03015,map05164
HCON_00025840	0.0000471	UP	-
HCON_00025850	0.000386177	UP	-
HCON_00025870	0.007033026	down	-
HCON_00025890	0.012023847	down	ko04010,ko04261,ko04668,ko04713,ko04722,ko05200,ko05206,ko05219,map04010,map04261,map04668,map04713,map04722,map05200,map05206,map05219
HCON_00025900	0.449094568	none	-
HCON_00025910	0.232897431	none	-
HCON_00025930	0.048718904	UP	-
HCON_00025940	0.003130904	UP	ko03013,map03013
HCON_00025965	0.001552805	none	ko00190,ko01100,ko02020,ko04260,ko04714,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map02020,map04260,map04714,map04932,map05010,map05012,map05016
HCON_00025970	0.092154537	none	ko03040,map03040
HCON_00025975	0.072961875	none	ko04020,ko04022,ko04080,ko04152,ko04261,ko04270,ko04970,map04020,map04022,map04080,map04152,map04261,map04270,map04970
HCON_00025980	0.016998945	none	ko00270,ko01100,map00270,map01100
HCON_00025985	0.197170528	none	ko04142,map04142
HCON_00026170	0.201283102	none	ko00190,ko01100,ko04714,ko05010,ko05012,ko05016,map00190,map01100,map04714,map05010,map05012,map05016
HCON_00026180	0.278879202	none	ko05168,map05168
HCON_00026190	0.051658081	none	ko04744,ko05030,map04744,map05030
HCON_00026200	0.000734589	down	ko04217,ko05034,ko05322,map04217,map05034,map05322
HCON_00026210	0.277437516	none	ko04217,ko05034,ko05203,ko05322,map04217,map05034,map05203,map05322
HCON_00026220	0.000277127	UP	ko05034,ko05203,ko05322,map05034,map05203,map05322
HCON_00026230	0.002550976	down	-
HCON_00026240	0.215782498	none	ko00562,ko01100,ko04070,map00562,map01100,map04070
HCON_00026250	0.001964141	UP	-
HCON_00026260	0.00595241	down	-
HCON_00026270	0.099977897	none	ko00561,ko00564,ko01100,ko01110,ko04072,map00561,map00564,map01100,map01110,map04072
HCON_00026280	0.06560165	none	-
HCON_00026290	0.075799428	none	-
HCON_00026310	0.048600349	down	ko04014,ko04015,ko04024,ko04520,ko04530,ko04670,map04014,map04015,map04024,map04520,map04530,map04670
HCON_00026320	0.036636728	UP	ko00760,ko01100,map00760,map01100
HCON_00026350	0.253763915	none	ko04520,ko04530,ko04540,ko05110,ko05120,ko05132,map04520,map04530,map04540,map05110,map05120,map05132
HCON_00026360	0.222482159	none	-
HCON_00026390	0.330393245	none	-
HCON_00026410	0.001714247	down	-
HCON_00026420	0.395084818	none	ko05202,map05202
HCON_00026430	0.063779012	none	ko00190,ko01100,ko04714,ko04723,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map04714,map04723,map04932,map05010,map05012,map05016
HCON_00026450	0.000341665	UP	-
HCON_00026470	0.000790473	UP	-
HCON_00026500	0.369950282	none	-
HCON_00026520	0.235156667	none	ko03040,map03040
HCON_00026530	0.016604627	UP	ko00230,ko00240,ko01100,ko03020,ko05016,ko05169,map00230,map00240,map01100,map03020,map05016,map05169
HCON_00026550	0.000523771	UP	ko03050,map03050
HCON_00026560	0.005015359	down	ko04974,map04974
HCON_00026690	0.0122283	down	ko00040,ko00531,ko00860,ko00944,ko00983,ko01100,ko01110,ko04142,map00040,map00531,map00860,map00944,map00983,map01100,map01110,map04142
HCON_00026700	0.245746003	none	-
HCON_00026710	0.0000182	UP	ko04010,ko04013,ko04064,ko04140,ko04152,ko04214,ko04310,ko04380,ko04520,ko04620,ko04621,ko04622,ko04624,ko04657,ko04660,ko04668,ko05140,ko05145,ko05162,ko05168,ko05169,ko05418,map04010,map04013,map04064,map04140,map04152,map04214,map04310,map04380,map04520,map04620,map04621,map04622,map04624,map04657,map04660,map04668,map05140,map05145,map05162,map05168,map05169,map05418
HCON_00026720	0.393412081	none	-
HCON_00026730	0.001962213	down	ko00052,ko00510,ko00512,ko00513,ko00514,ko00515,ko00533,ko00600,ko00601,ko01100,map00052,map00510,map00512,map00513,map00514,map00515,map00533,map00600,map00601,map01100
HCON_00026740	0.00393874	UP	ko01521,ko01522,ko04012,ko04013,ko04015,ko04062,ko04071,ko04072,ko04137,ko04144,ko04360,ko04370,ko04380,ko04510,ko04520,ko04530,ko04540,ko04611,ko04650,ko04660,ko04664,ko04725,ko04727,ko04750,ko04810,ko04912,ko04915,ko04917,ko04919,ko04921,ko04926,ko05020,ko05100,ko05120,ko05130,ko05131,ko05152,ko05161,ko05162,ko05167,ko05203,ko05205,ko05219,ko05416,ko05418,map01521,map01522,map04012,map04013,map04015,map04062,map04071,map04072,map04137,map04144,map04360,map04370,map04380,map04510,map04520,map04530,map04540,map04611,map04650,map04660,map04664,map04725,map04727,map04750,map04810,map04912,map04915,map04917,map04919,map04921,map04926,map05020,map05100,map05120,map05130,map05131,map05152,map05161,map05162,map05167,map05203,map05205,map05219,map05416,map05418
HCON_00026770	0.000280985	UP	-
HCON_00026790	0.052356096	none	-
HCON_00026820	0.04640651	UP	-
HCON_00026830	0.059405012	none	ko04310,ko04390,ko04520,ko04916,ko04934,ko05165,ko05200,ko05210,ko05213,ko05215,ko05216,ko05217,ko05221,ko05224,ko05225,ko05226,ko05412,map04310,map04390,map04520,map04916,map04934,map05165,map05200,map05210,map05213,map05215,map05216,map05217,map05221,map05224,map05225,map05226,map05412
HCON_00026840	0.01494666	down	-
HCON_00026860	0.001585493	UP	-
HCON_00026870	0.000234727	UP	-
HCON_00026910	0.002126179	UP	ko04140,ko04150,map04140,map04150
HCON_00026950	0.426046285	none	-
HCON_00026960	0.042610033	UP	ko03010,map03010
HCON_00026970	0.001133517	UP	ko00900,ko01130,map00900,map01130
HCON_00026980	0.338452279	none	ko04010,ko04013,ko04624,ko04912,map04010,map04013,map04624,map04912
HCON_00026990	0.130414915	none	-
HCON_00027010	0.146352353	none	ko04110,ko04218,ko04350,ko05165,ko05203,map04110,map04218,map04350,map05165,map05203
HCON_00027070	0.116340581	none	-
HCON_00027090	0.018802968	UP	-
HCON_00027110	0.022343494	UP	-
