geneid	pval	up_down 	pathway_ids
HCON_00002702	0.005300121	UP	-
HCON_00002704	0.020097443	UP	-
HCON_00002720	0.038972276	down	-
HCON_00002740	0.151350072	none	-
HCON_00002750	0.014266898	UP	-
HCON_00002780	0.035690293	down	ko04120,map04120
HCON_00002790	0.034312877	down	ko03018,map03018
HCON_00002800	0.000610169	none	ko00190,ko01100,ko04714,ko04723,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map04714,map04723,map04932,map05010,map05012,map05016
HCON_00002810	0.104312007	none	ko04120,ko04630,ko05160,map04120,map04630,map05160
HCON_00002820	0.117200981	none	ko04010,ko04013,ko04022,ko04371,ko04921,ko05202,ko05418,map04010,map04013,map04022,map04371,map04921,map05202,map05418
HCON_00002850	0.103411167	none	-
HCON_00002880	0.105078745	none	ko05012,map05012
HCON_00002890	0.000452255	down	-
HCON_00002900	0.010364187	UP	-
HCON_00002910	0.102953862	none	-
HCON_00002920	0.012215063	UP	-
HCON_00002930	0.003489204	down	-
HCON_00002970	0.134414939	none	-
HCON_00003080	0.009536217	down	ko04114,ko04914,map04114,map04914
HCON_00003100	0.283475959	none	ko02010,ko04142,ko04145,ko04612,ko05168,ko05340,map02010,map04142,map04145,map04612,map05168,map05340
HCON_00003400	0.009605207	down	ko00240,ko00670,ko01100,ko01523,map00240,map00670,map01100,map01523
HCON_00003415	0.119665995	none	-
HCON_00003420	0.0000625	UP	-
HCON_00003440	0.397209274	none	-
HCON_00003460	0.105638479	none	-
HCON_00003470	0.004157755	UP	ko03013,ko05016,map03013,map05016
HCON_00003534	0.003054515	UP	-
HCON_00003550	0.056645794	none	-
HCON_00003580	0.023256132	UP	ko00190,ko01100,ko04714,ko04723,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map04714,map04723,map04932,map05010,map05012,map05016
HCON_00003590	0.004193855	UP	ko00190,ko01100,ko04260,ko04714,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map04260,map04714,map04932,map05010,map05012,map05016
HCON_00003630	0.01864255	UP	-
HCON_00003650	0.022208031	down	ko00250,ko04146,map00250,map04146
HCON_00003680	0.022313574	down	-
HCON_00003690	0.163905307	none	-
HCON_00003710	0.001455341	UP	-
HCON_00003750	0.000865	UP	-
HCON_00003760	0.400769048	none	ko04138,ko04144,map04138,map04144
HCON_00003790	0.169093142	none	-
HCON_00003795	0.005918926	UP	ko03010,map03010
HCON_00003800	0.084112772	none	ko03013,map03013
HCON_00003850	0.126972817	none	ko04142,map04142
HCON_00003860	0.079888629	none	ko00230,ko00240,ko01100,ko03030,map00230,map00240,map01100,map03030
HCON_00003880	0.235051624	none	-
HCON_00003930	0.095166159	none	-
HCON_00003940	0.00008	UP	-
HCON_00003980	0.003520173	down	-
HCON_00003985	0.112047897	none	ko04120,map04120
HCON_00003990	0.499310794	none	ko00250,ko04146,map00250,map04146
HCON_00004010	0.009212988	UP	ko03010,map03010
HCON_00004020	0.003101661	UP	ko03010,map03010
HCON_00004030	0.084443417	none	-
HCON_00004130	0.041547156	UP	-
HCON_00004150	0.006521796	UP	-
HCON_00004200	0.158264861	none	-
HCON_00004300	0.001214287	down	-
HCON_00004310	0.346484177	none	-
HCON_00004320	0.186916355	none	-
HCON_00004330	0.00729819	none	ko00521,ko00562,ko01100,ko04070,map00521,map00562,map01100,map04070
HCON_00004350	0.0000479	UP	-
HCON_00004370	0.350608384	none	ko04144,ko04666,ko04810,ko05100,ko05130,ko05131,ko05132,map04144,map04666,map04810,map05100,map05130,map05131,map05132
HCON_00004380	0.368855216	none	ko00563,ko01100,ko04110,ko04114,ko04115,ko04151,ko04218,ko04391,ko04934,ko05161,ko05162,ko05165,ko05200,ko05203,ko05206,ko05215,ko05222,ko05226,map00563,map01100,map04110,map04114,map04115,map04151,map04218,map04391,map04934,map05161,map05162,map05165,map05200,map05203,map05206,map05215,map05222,map05226
HCON_00004410	0.013087785	UP	ko00564,ko05231,map00564,map05231
HCON_00004420	0.103511164	none	ko00512,ko00601,ko01100,map00512,map00601,map01100
HCON_00004430	0.036185867	down	-
HCON_00004450	0.332912467	none	ko01522,ko02010,ko04976,ko04979,ko05206,ko05226,map01522,map02010,map04976,map04979,map05206,map05226
HCON_00004500	0.281970769	none	ko00600,ko01100,ko04071,ko04142,map00600,map01100,map04071,map04142
HCON_00004550	0.001490033	none	-
HCON_00004560	0.000534991	down	-
HCON_00004580	0.14563843	none	ko04010,map04010
HCON_00004590	0.253042612	none	-
HCON_00004610	0.0000359	UP	-
HCON_00004650	0.036167217	UP	ko03010,map03010
HCON_00004710	0.014225263	down	-
HCON_00004750	0.152121407	none	ko00230,ko04022,ko04024,ko04270,ko04714,ko04921,ko04923,ko04924,ko04925,map00230,map04022,map04024,map04270,map04714,map04921,map04923,map04924,map04925
HCON_00004770	0.026852396	none	-
HCON_00004780	0.423964438	none	ko04144,ko04152,ko04961,ko04962,ko04972,map04144,map04152,map04961,map04962,map04972
HCON_00004790	0.000266581	UP	ko03010,map03010
HCON_00004820	0.250319852	none	ko00970,ko04113,map00970,map04113
HCON_00004860	0.421576686	none	-
HCON_00004900	0.247181025	none	ko04145,ko04210,ko04530,ko04540,ko05130,map04145,map04210,map04530,map04540,map05130
HCON_00004950	0.02620945	none	ko00230,ko00240,ko00310,ko01100,ko03020,ko04934,ko05016,ko05169,ko05202,map00230,map00240,map00310,map01100,map03020,map04934,map05016,map05169,map05202
HCON_00004960	0.008077735	UP	ko03060,map03060
HCON_00004970	0.018173614	none	-
HCON_00004980	0.073941447	none	ko03008,map03008
HCON_00004990	0.001673046	UP	-
HCON_00005000	0.028990646	UP	-
HCON_00005010	0.039437456	UP	ko04110,ko04111,ko04113,ko04114,ko04120,ko04914,ko05166,map04110,map04111,map04113,map04114,map04120,map04914,map05166
HCON_00005020	0.278246528	none	ko04144,map04144
HCON_00005030	0.003303112	UP	-
HCON_00005060	0.001083893	UP	ko00563,ko01100,map00563,map01100
HCON_00005110	0.443367808	none	ko03015,ko04071,ko04111,ko04151,ko04152,ko04261,ko04390,ko04391,ko04530,ko04728,ko05142,ko05160,ko05165,map03015,map04071,map04111,map04151,map04152,map04261,map04390,map04391,map04530,map04728,map05142,map05160,map05165
HCON_00005120	0.266324856	none	-
HCON_00005130	0.27399438	none	-
HCON_00005150	0.06695332	none	ko00230,ko00983,ko01100,ko01110,map00230,map00983,map01100,map01110
HCON_00005230	0.000381535	UP	-
HCON_00005240	0.001343101	down	-
HCON_00005260	0.00759252	none	ko04145,ko04540,ko05130,map04145,map04540,map05130
HCON_00005270	0.382165773	none	-
HCON_00005280	0.004706879	none	ko00230,ko04927,ko04934,ko05032,map00230,map04927,map04934,map05032
HCON_00005300	0.000343479	down	-
HCON_00005330	0.148840456	none	ko04726,map04726
HCON_00005650	0.008167196	UP	ko04140,ko04142,ko04210,ko04612,ko04621,ko04924,map04140,map04142,map04210,map04612,map04621,map04924
HCON_00005660	0.057753613	none	ko04140,ko04142,ko04210,ko04612,ko04621,ko04924,map04140,map04142,map04210,map04612,map04621,map04924
HCON_00005705	0.031311108	none	-
